event_date,location,event_type,sub_event_type,actor1,actor2,fatalities,notes,intsum
2018-11-11,Koilebeda,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),Police Forces of India (2014-) Border Security Force,1,"On 11 November 2018, in Koyali Beda village in Pakhanjur Tehsil (Kanker, Chhattisgarh), six Maoist-planted IEDs exploded and killed a BSF jawan.","<s> INTSUM Report

**Date:** 11 November 2018
**Location:** Koyali Beda village, Pakhanjur Tehsil, Kanker District, Chhattisgarh, India (19.9649° N, 80.9971° E)
**Actors Involved:**
- **Primary Actor:** Communist Party of India (Maoist) (CPI-Maoist)
- **Secondary Actor:** Border Security Force (BSF) of India

**Event Summary:**
Six improvised explosive devices (IEDs) planted by CPI-Maoist militants detonated in Koyali Beda village, Pakhanjur Tehsil, Kanker District, Chhattisgarh. The explosions resulted in the death of one BSF personnel.

**Outcome:**
Successful execution of an IED attack by CPI-Maoist militants, leading to the fatality of a BSF jawan.

**Casualties/Fatalities:**
- **Fatalities:** 1 (BSF personnel)

**Strategic Implications:**
- Demonstrates continued Maoist insurgent activity in the Chhattisgarh region.
- Highlights the persistent threat of IEDs in counterinsurgency operations.
- Potential for increased tensions between security forces and Maoist groups in the area.

**Analyst Remarks:**
The attack underscores the CPI-Maoist's capability to conduct remote violence operations, particularly in rural and forested regions. Enhanced counter-IED measures and intelligence sharing may be necessary to mitigate future threats.

**Recommended Action:**
- Strengthen security patrols and intelligence gathering in high-risk areas.
- Implement enhanced counter-IED training for security personnel.
- Coordinate with local authorities to improve community-based intelligence networks."
2024-06-10,Kolaghat,Strategic developments,Disrupted weapons use,Unidentified Armed Group (India),,0,"Detonation: On 10 June 2024, an explosion took place during manufacturing of bombs in an illegal factory operated by an unidentified group at Prayag village in Kolaghat area (Purba Medinipur district, WB) after the Lok Sabha elections. One person was left injured in the explosion and at least 4-5 houses were left damaged in the explosion. In West Bengal historically parties have engaged in use of crude bombs as part of their political rivalry.","INTSUM Report
Date: 10 June 2024
Location: Prayag village, Kolaghat, Purba Medinipur district, West Bengal, India (22.4325N, 87.8593E)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: None
- Ally: None

Event Summary:
An explosion occurred at an illegal bomb manufacturing facility operated by an unidentified armed group in Prayag village, Kolaghat. The incident took place post-Lok Sabha elections, damaging at least 4-5 houses and injuring one individual.

Outcome:
- Destruction of the illegal bomb factory.
- Structural damage to nearby residences.
- One injury reported.

Casualties/Fatalities:
- Injured: 1
- Fatalities: 0

Strategic Implications:
- Indicates ongoing political tensions in the region, with historical use of crude bombs in political rivalries.
- Potential for further unrest or retaliatory actions if the responsible group remains unidentified.

Analyst Remarks:
The incident underscores the persistence of violent political rivalry in West Bengal, particularly involving crude bomb manufacturing. The post-election timing suggests possible retaliation or intimidation tactics.

Recommended Action:
- Intensify surveillance in the area to identify the armed group.
- Strengthen counterterrorism measures to prevent future incidents.
- Coordinate with local law enforcement to mitigate political violence."
2017-10-02,Allahabad,Violence against civilians,Attack,Unidentified Armed Group (India),Civilians (India),1,"On 2 October 2017, a Bahujan Samaj Party (BSP) leader was shot dead by unidentified armed men outside a hostel near the University of Allahabad in Allahabad city (Uttar Pradesh).","INTSUM Report
Date: 02 October 2017
Location: Allahabad, Uttar Pradesh, India (Coordinates: 25.4447, 81.8432)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India)
- Specific Target: Bahujan Samaj Party (BSP) leader

Event Summary:
On 02 October 2017, an unidentified armed group assassinated a Bahujan Samaj Party (BSP) leader outside a hostel near the University of Allahabad in Allahabad, Uttar Pradesh, India.

Outcome:
- Successful execution of targeted assassination.
- Potential deterrent effect on political activists in the region.

Casualties/Fatalities:
- 1 fatality (BSP leader)

Strategic Implications:
- Escalation in political violence in Uttar Pradesh.
- Possible retaliation by BSP or allied groups.
- Undermines regional security and political stability.

Analyst Remarks:
- The identity of the perpetrators remains unknown, complicating investigative efforts.
- The attack may indicate broader targeting of political figures in the region.

Recommended Action:
- Increase surveillance and security around political figures and university campuses.
- Conduct thorough investigation to identify and neutralize the armed group.
- Monitor for retaliatory actions by BSP or allied groups."
2020-12-14,Chapra,Protests,Peaceful protest,Protesters (India),,0,"On 14 December 2020, farmers along with AIKSCC, INC and CPI staged a protest in each district, including Saran district (Bihar), coded as Chapra, against the three farm ordinances passed by the central government.","<s> INTSUM Report
Date: 14 December 2020
Location: Chapra, Saran District, Bihar, India (25.7803N, 84.7470E)
Actors Involved:
- Primary: Protesters (India)
- Secondary: All India Kisan Sangharsh Coordination Committee (AIKSCC), Indian National Congress (INC), Communist Party of India (CPI)
Event Summary:
Farmers, alongside AIKSCC, INC, and CPI, staged a peaceful protest in Chapra, Saran District, against the central government's three farm ordinances.
Outcome:
Protest conducted without reported violence or disruption.
Casualties/Fatalities:
None reported.
Strategic Implications:
- Demonstrates ongoing opposition to agricultural reforms in Bihar.
- Indicates coordination among opposition groups and farmers' organizations.
Analyst Remarks:
- The protest aligns with a broader nationwide movement against the farm laws.
- No immediate escalation observed, but sustained opposition could impact regional stability.
Recommended Action:
- Monitor for further protest activity and potential government response.
- Assess impact on agricultural sector and regional security dynamics."
2021-04-18,Kardah,Riots,Mob violence,Rioters (India),,0,"On 18 April 2021, unidentified assailants hurled crude bombs at a BJP candidate's house in Kardah police station area (Barrackpur-II, North 24 Parganas district), amid the ongoing assembly election 2021.","<s> INTSUM Report
Date: 18 April 2021
Location: Kardah, North 24 Parganas district, West Bengal, India (22.7186, 88.3781)
Actors Involved:
- Primary: Rioters (India)
- Secondary: None
- Ally Actors: None

Event Summary:
Unidentified rioters hurled crude bombs at the residence of a Bharatiya Janata Party (BJP) candidate during the ongoing West Bengal Assembly election 2021.

Outcome:
No fatalities reported. The attack disrupted local election activities and heightened tensions in the area.

Casualties/Fatalities:
- Fatalities: 0
- Injuries: Not specified

Strategic Implications:
- The incident underscores ongoing political violence during the election period, potentially destabilizing the electoral process.
- May indicate targeted intimidation against opposition candidates, affecting voter confidence and security.

Analyst Remarks:
- The lack of identified perpetrators suggests possible covert operations by rival political factions or criminal elements.
- Local authorities should enhance security measures around election-related sites to prevent further escalation.

Recommended Action:
- Increase surveillance and deploy additional security personnel in Kardah and surrounding areas.
- Conduct thorough investigations to identify and apprehend the assailants to deter future attacks.

[/s]"
2018-12-27,Bhubaneswar,Riots,Violent demonstration,Rioters (India),Police Forces of India (2014-),0,"On 27 December 2018, activists of the Mahila Congress hurled tomatoes and eggs at the Government quarters of the Agriculture Minister in Bhubaneswar city (Khordha, Odisha), while staging a demonstration protesting the minister's comments on the acquittal verdict in the Pipili gang rape incident, of 2011. The women clashed with the police.",
2016-08-08,Moreh,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (India),,0,"Two IED explosions were reported from Moreh today, the first at ward number 3 Phaicham Veng, around 7 pm, and the second near Commando complex, Moreh situated along the NH 102. However, no casualties were reported due to the blasts.","INTSUM Report
Date: 08 August 2016
Location: Moreh, Tengnoupal, Manipur, India (24.2508, 94.3007)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: None
- Ally: None

Event Summary:
Two improvised explosive device (IED) explosions occurred in Moreh, Manipur. The first blast was reported at approximately 1900 hours at ward number 3, Phaicham Veng, while the second detonation occurred near the Commando complex along National Highway 102 (NH 102).

Outcome:
No casualties or infrastructure damage reported.

Casualties/Fatalities: 0

Strategic Implications:
- The incident highlights ongoing insurgent activity in Manipur, particularly along critical transportation routes.
- Potential disruption to regional security and economic stability if similar attacks escalate.

Analyst Remarks:
- The lack of casualties suggests either poor targeting or a warning mechanism in place.
- The targeting of a highway and a security complex indicates tactical intent to disrupt security operations or civilian movement.

Recommended Action:
- Increase surveillance and patrols in high-risk areas, particularly along NH 102.
- Enhance intelligence gathering to identify and neutralize insurgent cells responsible for such attacks.
- Coordinate with local authorities to implement community-based security measures to deter future incidents."
2024-04-19,Bishalgarh,Strategic developments,Other,Rioters (India),Civilians (India),0,"Other: On 19 April 2024, INDIA bloc of Tripura claimed that unidentified assailants (likely BJP supporters based on ongoing political rivalry) either removed INDIA polling agents or physically assaulted them at polling stations, and removed opposition supporters from voting queues in Bishalgarh town (Sepahijala, Tripura) during the ongoing Lok Sabha elections.","<s> INTSUM Report
Date: 19 April 2024
Location: Bishalgarh, Sepahijala, Tripura, India (23.6748° N, 91.2832° E)
Actors Involved:
- Primary: Rioters (India) (likely BJP supporters)
- Secondary: Civilians (India) (opposition supporters)
- Targeted: INDIA bloc polling agents and opposition supporters

Event Summary:
During the ongoing Lok Sabha elections, unidentified assailants (suspected BJP supporters) reportedly removed or assaulted INDIA bloc polling agents and expelled opposition supporters from voting queues in Bishalgarh town, Tripura.

Outcome:
Disruption of electoral processes, potential voter intimidation, and possible suppression of opposition voting.

Casualties/Fatalities:
None reported.

Strategic Implications:
- Escalation of political violence during elections.
- Potential erosion of public trust in electoral integrity.
- Risk of retaliatory actions by opposition groups.

Analyst Remarks:
The incident aligns with ongoing political tensions in Tripura, where BJP supporters have been accused of targeting opposition factions. Further monitoring is recommended to assess the scale and impact of such disruptions.

Recommended Action:
- Deploy additional security personnel to polling stations in volatile areas.
- Conduct thorough investigations to identify and hold perpetrators accountable.
- Issue public statements reaffirming the neutrality and security of the electoral process."
2017-08-04,Chandigarh,Protests,Peaceful protest,Protesters (India),,0,"Over 350 teachers of all categories participated in a protest rally for 'equal work, equal pay' at Sector 25, Chandigarh on Saturday. Computer teachers have been protesting since March 28. Day 12","INTSUM Report
Date: 04 AUG 2017
Location: Sector 25, Chandigarh, India (30.7362N, 76.7884E)
Actors Involved:
- Primary: Protesters (Indian teachers)
- Secondary: None identified

Event Summary:
Over 350 teachers from various categories staged a peaceful protest rally in Chandigarh, demanding equal pay for equal work. The demonstration marks the 12th consecutive day of protests, with computer teachers specifically agitating since 28 MAR 2017.

Outcome:
- Protest sustained without immediate resolution
- No reported clashes or violence

Casualties/Fatalities:
- None reported

Strategic Implications:
- Potential for continued labor unrest among education sector workers
- Possible escalation if demands remain unaddressed

Analyst Remarks:
Protest persistence suggests strong grievances among educators. Monitoring recommended for potential expansion or intensification of demonstrations.

Recommended Action:
- Local authorities should engage with protest organizers to address grievances
- Education department should assess pay equity policies to mitigate future unrest"
2021-11-17,Moga,Riots,Violent demonstration,Rioters (India),Police Forces of India (2014-),0,"On 17 November 2021, sanitation workers staged a demonstration and attacked an INC member, in Moga (Moga district, Punjab), demanding better wages and working conditions. Police used force and cane charged at the demonstrators.","INTSUM Report
Date: 17 November 2021
Location: Moga, Punjab, India (30.8138° N, 75.1687° E)
Actors Involved:
- Primary: Rioters (sanitation workers)
- Secondary: Police Forces of India (2014-)
Event Summary: Sanitation workers in Moga staged a violent demonstration, attacking an Indian National Congress (INC) member, to demand improved wages and working conditions. Police responded with force, including cane charging the demonstrators.
Outcome: The demonstration was forcibly dispersed by police.
Casualties/Fatalities: 0
Strategic Implications: The event highlights ongoing labor unrest and potential vulnerabilities in local governance, particularly regarding worker rights and public service management in Punjab.
Analyst Remarks: The incident suggests a need for proactive engagement by local authorities to address grievances before they escalate into larger unrest.
Recommended Action: Authorities should conduct immediate dialogue with sanitation workers to resolve wage and condition disputes, while monitoring for further labor-related tensions in the region."
2018-10-21,Sri Ganganagar,Violence against civilians,Attack,Police Forces of India (2014-) Border Security Force,Civilians (Pakistan),1,"On 21 October 2018, in Sri Ganganagar town area (Sri Ganganagar, Rajasthan), BSF troopers shot and killed a Pakistani man for crossing the border into India.","INTSUM Report
Date: 21 October 2018
Location: Sri Ganganagar, Rajasthan, India (29.9178°N, 73.8817°E)
Actors Involved:
- Primary: Border Security Force (BSF) of India
- Secondary: Pakistani civilian

Event Summary:
On 21 October 2018, BSF personnel engaged and fatally shot a Pakistani man who allegedly crossed the border into India near Sri Ganganagar, Rajasthan.

Outcome:
The Pakistani man was killed; no further details on the incident’s immediate aftermath provided.

Casualties/Fatalities:
- 1 Pakistani civilian (confirmed fatality)

Strategic Implications:
- Reinforces BSF’s role in border security and use of lethal force in perceived border violations.
- Potential diplomatic tension between India and Pakistan over civilian fatalities.

Analyst Remarks:
- The incident underscores ongoing border security challenges and the BSF’s operational posture.
- Lack of additional context may indicate routine enforcement or an isolated event.

Recommended Action:
- Monitor for further incidents or diplomatic responses from Pakistan.
- Assess BSF’s standard operating procedures for border engagements."
2019-05-23,Khelma,Violence against civilians,Attack,NSCN: National Socialist Council of Nagaland,Civilians (India),0,"On 23 May 2019, four to five national workers of the GPRN/NSCN assaulted one person and left him unconscious in the cemetery area, in Khelma village (Peren, Nagaland), over a tax issue. Three persons were later arrested.",
2023-05-12,Saiton,Explosions/Remote violence,Remote explosive/landmine/IED,Kuki Tribal Militia (India),Police Forces of India (2014-),0,"On 12 May 2023, a locally made IED exploded while a state police personnel was trying to diffuse it in Saiton village (Bishnupur, Manipur) leaving the officer with a minor injury. The police personnel were conducting a combing operation against suspected Kuki militants in the area, amidst ongoing violence between Meitei and tribal, including Kuki-Zomi, communities in the state.","<s> INTSUM Report

Date: 12 May 2023
Location: Saiton, Bishnupur, Manipur, India (24.4184° N, 93.7536° E)
Actors Involved:
- Primary: Kuki Tribal Militia (India)
- Secondary: Police Forces of India (2014-)
- Ally: None

Event Summary:
A locally made improvised explosive device (IED) detonated during a police operation in Saiton village, Bishnupur district, Manipur. The explosion occurred while a police officer attempted to defuse the device, resulting in minor injuries to the officer. The incident took place during a combing operation targeting suspected Kuki militants amid ongoing ethnic violence between Meitei and tribal communities in the state.

Outcome:
- Successful detonation of IED.
- Minor injury to one police officer.
- No fatalities reported.

Casualties/Fatalities:
- Injured: 1 (police officer)
- Fatalities: 0

Strategic Implications:
- Continued ethnic tensions in Manipur may escalate, potentially leading to further violence.
- Increased militant activity by Kuki Tribal Militia could disrupt security operations in the region.
- Potential for retaliatory actions by security forces, exacerbating the conflict.

Analyst Remarks:
The incident underscores the volatile security environment in Manipur, driven by ethnic conflicts and militant activities. The presence of IEDs indicates a tactical shift by Kuki militants, posing a higher risk to security personnel and civilians.

Recommended Action:
- Enhance security patrols and intelligence gathering in high-risk areas.
- Strengthen counter-IED training and equipment for police and security forces.
- Monitor ethnic tensions and coordinate with local communities to prevent further escalation.
- Consider targeted operations against militant groups to disrupt their activities."
2018-08-02,Basaguda,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),Police Forces of India (2014-) Central Reserve Police Force,0,"On 2 August 2018, one CRPF trooper from the Commando Battalion for Resolute Action was injured in an Improvised Explosive Device (IED) blast triggered by CPI-Maoist cadres in Basaguda of Bijapur district of Chhattisgarh.","INTSUM Report
**Date:** 02 AUG 2018
**Location:** Basaguda, Bijapur District, Chhattisgarh, India
**Actors Involved:**
- **Primary Actor:** CPI (Maoist)
- **Secondary Actor:** Central Reserve Police Force (CRPF) (Commando Battalion for Resolute Action)
**Event Summary:**
On 02 AUG 2018, CPI (Maoist) cadres detonated an Improvised Explosive Device (IED) in Basaguda, Bijapur District, Chhattisgarh, injuring one CRPF trooper.
**Outcome:**
- Successful IED detonation by CPI (Maoist).
- One CRPF trooper injured.
**Casualties/Fatalities:**
- **Injured:** 1 (CRPF trooper)
- **Fatalities:** 0
**Strategic Implications:**
- Demonstrates CPI (Maoist) operational capability in Chhattisgarh.
- Highlights ongoing insurgency threat in Bijapur District.
- Potential for escalated counterinsurgency operations by Indian security forces.
**Analyst Remarks:**
- The incident underscores the persistent Maoist insurgency in Chhattisgarh, particularly in Bijapur District.
- Further attacks likely if security forces maintain current operational tempo.
- Local population may face increased security measures or restrictions.
**Recommended Action:**
- Enhance counter-IED training for CRPF personnel.
- Conduct thorough reconnaissance and intelligence gathering in the affected area.
- Coordinate with local authorities for community engagement to counter Maoist influence."
2022-04-17,Mohammad Bazar,Protests,Peaceful protest,Protesters (India),,0,"On 17 April 2022, hundreds of tribal people held a protest at Deocha-Pachami area in Mohammad Bazar tehsil (Birbhum district, WB) against a coal-mine project and demanded an assurance in writing that the project will be called off.","<s> INTSUM Report
Date: 17 April 2022
Location: Deocha-Pachami, Mohammad Bazar, Birbhum District, West Bengal, India (23.9915° N, 87.5717° E)
Actors Involved:
- Primary: Protesters (Tribal Community)
- Secondary: None
- Ally Actors: None

Event Summary:
Hundreds of tribal protesters gathered peacefully in Deocha-Pachami, Mohammad Bazar, to oppose a coal-mine project. Demonstrators demanded written assurance from authorities to halt the project.

Outcome:
Protest concluded without reported violence or arrests. Demands remain unresolved.

Casualties/Fatalities:
None reported.

Strategic Implications:
- Potential for escalation if demands are not addressed.
- Highlights local opposition to resource extraction projects in West Bengal.
- Could impact future industrial development and local governance relations.

Analyst Remarks:
The peaceful nature of the protest suggests a preference for dialogue over confrontation. However, unresolved demands may lead to future unrest. Monitoring for follow-up actions is advised.

Recommended Action:
- Engage with local tribal leaders to address concerns.
- Assess feasibility of alternative development initiatives.
- Prepare contingency plans for potential escalation."
2021-10-03,Ghaziabad,Protests,Peaceful protest,Protesters (India),,0,"On 3 October 2021, villagers staged a protest, at the solid waste dumping site, in Ghaziabad (Ghaziabad district, UP), against the dumping of waste in their area.","INTSUM Report
Date: 03 October 2021
Location: Ghaziabad, Uttar Pradesh, India (28.6653° N, 77.4391° E)
Actors Involved:
- Primary: Protesters (India)
- Secondary: None
- Ally Actors: None

Event Summary:
Villagers in Ghaziabad staged a peaceful protest against the dumping of solid waste in their area. The demonstration occurred at a designated waste dumping site, indicating local environmental concerns.

Outcome:
The protest was peaceful, with no reported violent incidents or clashes. No fatalities occurred.

Casualties/Fatalities:
0 fatalities reported.

Strategic Implications:
- The protest highlights growing environmental and health concerns among local populations regarding waste management practices.
- Potential for similar protests in other regions with inadequate waste disposal infrastructure.
- Could influence local governance and environmental policy decisions in Uttar Pradesh.

Analyst Remarks:
The peaceful nature of the protest suggests a focus on raising awareness rather than escalation. However, unresolved environmental issues may lead to future unrest if not addressed.

Recommended Action:
- Monitor local environmental policies and waste management practices in Uttar Pradesh.
- Assess potential for similar protests in other districts with similar waste disposal challenges.
- Engage with local authorities to mitigate environmental grievances and prevent escalation."
2018-04-02,Sainthia,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (India),Civilians (India),0,"On 2 April 2018, BJP activists were driven out of their office at gun point by an unidentified group in Sainthia town, West Bengal. The incident occurred in the build up to the panchayat elections.","INTSUM Report
**Date:** 02 April 2018
**Location:** Sainthia, Birbhum District, West Bengal, India (23.9482N, 87.6804E)
**Actors Involved:**
- **Primary Actor:** Unidentified Armed Group (India)
- **Secondary Actor:** Bharatiya Janata Party (BJP) activists (India)

**Event Summary:**
On 02 April 2018, an unidentified armed group forcibly expelled BJP activists from their office in Sainthia, West Bengal. The incident occurred ahead of the panchayat elections, suggesting potential pre-election tensions.

**Outcome:**
BJP activists were driven out of their office at gunpoint, though no fatalities were reported.

**Casualties/Fatalities:** 0

**Strategic Implications:**
- Indicates rising political violence in West Bengal, particularly during election periods.
- Suggests possible escalation of tensions between political factions ahead of local elections.

**Analyst Remarks:**
The involvement of an unidentified armed group raises concerns about organized political violence. Further monitoring is required to assess the group's affiliation and motives.

**Recommended Action:**
- Increase surveillance in Birbhum District to identify the armed group and prevent further incidents.
- Coordinate with local authorities to ensure security for political activists during the election period."
2019-07-18,Rahna,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 18 July 2019, a man and his family were attacked and injured by another resident and his family in Rahna village (Panchkula, Haryana) over an unspecified dispute. Casteist remarks were also made about the family.","INTSUM Report
Date: 18 July 2019
Location: Rahna, Panchkula, Haryana, India (30.5769° N, 77.0649° E)
Actors Involved:
- Primary: Rioters (India)
- Secondary: Civilians (India)
Event Summary: A man and his family were attacked and injured by another resident and his family in Rahna village over an unspecified dispute. Casteist remarks were also made during the incident.
Outcome: No fatalities reported; injuries sustained by the victim and his family.
Casualties/Fatalities: 0
Strategic Implications: The incident highlights ongoing social tensions and potential for escalation in the region, particularly related to caste-based violence.
Analyst Remarks: The lack of fatalities suggests the incident may have been contained, but the use of casteist remarks indicates deeper societal issues that could fuel future conflicts.
Recommended Action: Local authorities should monitor the situation closely and implement measures to mitigate caste-based tensions to prevent further violence."
2024-07-08,Bagda,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),Civilians (India),0,"Property destruction: On 8 July 2024, unidentified persons attacked the house of a BJP polling agent at Bagda tehsil (North 24 Parganas district, WB) before the by-poll elections.","INTSUM Report
Date: 08 July 2024
Location: Bagda, North 24 Parganas, West Bengal, India (23.22N, 88.88E)
Actors Involved:
- Primary: Unidentified Armed Group (India)
- Secondary: Civilians (India)
- Target: BJP Polling Agent (India)

Event Summary:
Unidentified armed individuals attacked and destroyed the property of a BJP polling agent in Bagda, North 24 Parganas, West Bengal, ahead of by-poll elections.

Outcome:
Property damage confirmed; no fatalities reported.

Casualties/Fatalities:
0

Strategic Implications:
- Potential escalation in pre-election violence.
- Risk of further political instability in West Bengal.
- Possible disruption to electoral processes.

Analyst Remarks:
The attack suggests heightened tensions in the lead-up to elections, possibly linked to political rivalries or local grievances. The lack of identified perpetrators complicates attribution and response efforts.

Recommended Action:
- Increase security presence in Bagda and surrounding areas to deter further incidents.
- Conduct thorough investigations to identify and apprehend perpetrators.
- Monitor for signs of escalation or additional attacks targeting political figures or infrastructure."
2020-06-14,Amaravati,Protests,Peaceful protest,Protesters (India),,0,"On 14 June 2020, members of the TDP, including former Ministers held a protest in Amaravati city (Guntur, AP) against the arrest of TDP leaders.","INTSUM Report
Date: 14 June 2020
Location: Amaravati, Guntur, Andhra Pradesh, India (16.5752° N, 80.358° E)
Actors Involved:
- Primary: Protesters (Telugu Desam Party - TDP)
- Secondary: None
Event Summary: Members of the Telugu Desam Party (TDP), including former ministers, staged a peaceful protest in Amaravati against the arrest of TDP leaders.
Outcome: Protest concluded without reported violence or arrests.
Casualties/Fatalities: 0
Strategic Implications: The protest highlights ongoing political tensions in Andhra Pradesh, potentially escalating if unresolved. The TDP's mobilization may signal broader opposition to state government actions.
Analyst Remarks: No immediate threat to regional stability, but continued monitoring is advised to assess potential escalation.
Recommended Action: Maintain situational awareness; no further action required at this time."
2023-07-07,Dubrajpur,Strategic developments,Disrupted weapons use,Police Forces of India (2014-) Bomb Disposal Squad,Unidentified Armed Group (India),0,"Defusal: On 7 July 2023, BDS recovered and defused at least 200 crude bombs at Dubrajpur tehsil (Birbhum district, WB) ahead of the panchayat (village government) election day.","<s>INTSUM Report

Date: 7 July 2023
Location: Dubrajpur, Birbhum District, West Bengal, India (Coordinates: 23.7902° N, 87.3764° E)
Actors Involved:
- Primary: Police Forces of India (2014-) Bomb Disposal Squad (BDS)
- Secondary: Unidentified Armed Group (India)

Event Summary:
On 7 July 2023, the BDS successfully recovered and defused at least 200 crude bombs in Dubrajpur tehsil, Birbhum District, West Bengal, ahead of the panchayat (village government) election day. The bombs were likely planted by an unidentified armed group in anticipation of the elections.

Outcome:
- Successful defusal of all recovered bombs.
- No fatalities reported.

Casualties/Fatalities:
- None reported.

Strategic Implications:
- The incident highlights ongoing security threats in the region, particularly during electoral periods.
- The presence of crude bombs suggests potential election-related violence or intimidation tactics by unidentified armed groups.
- Effective countermeasures by the BDS prevented potential casualties and disruption to the electoral process.

Analyst Remarks:
- The defusal operation underscores the importance of proactive security measures during sensitive periods such as elections.
- Further investigation is required to identify the perpetrators and their motives.

Recommended Action:
- Enhanced surveillance and intelligence gathering in the region to preempt future threats.
- Continued coordination between local law enforcement and BDS to ensure security during electoral processes.
- Public awareness campaigns to report suspicious activities or unexploded devices."
2017-01-12,Bijapur,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),Police Forces of India (2014-) Central Reserve Police Force,0,"On 12 January 2017, one CRPF jawan and a sniffer dog were injured when an Improvised Explosive Device (IED) went off on the Bijapur-Bhopalpattanam road in Bijapur district of Chhattisgarh.",
2021-01-01,Naushera,Battles,Armed clash,Military Forces of India (2014-),Military Forces of Pakistan (2018-2022),1,"On 1 January 2021, military forces of India and Pakistan exchanged fire across the LoC at Naushera sector area (Rajouri district, J&K). One Indian personnel was killed in the incident.","INTSUM Report
Date: 01 January 2021
Location: Naushera, Rajouri District, Jammu and Kashmir, India
Actors Involved:
- Primary: Military Forces of India (2014-)
- Secondary: Military Forces of Pakistan (2018-2022)
Event Summary: Indian and Pakistani military forces engaged in an armed clash along the Line of Control (LoC) in the Naushera sector, Rajouri District, Jammu and Kashmir.
Outcome: Exchange of fire resulted in one fatality (Indian personnel).
Casualties/Fatalities: 1 (Indian military personnel)
Strategic Implications: Escalation of tensions between India and Pakistan along the LoC, potentially impacting regional stability.
Analyst Remarks: The incident underscores ongoing border disputes and the volatile nature of the LoC. Further clashes could exacerbate bilateral tensions.
Recommended Action: Heightened vigilance along the LoC; diplomatic engagement to de-escalate tensions."
2024-02-10,Chandigarh,Riots,Mob violence,Rioters (India),Civilians (India),0,"On 10 February 2024, local vegetable vendors assaulted a man (also a local vendor) at Sector 26's Grain Market in Chandigarh city for attempting to open fire at another local vendor. 7-8 accomplices of the man fled the scene after his firearm jammed and failed to open fire. The man suffered injuries and is currently hospitalized.","INTSUM Report
Date: 10 February 2024
Location: Sector 26, Grain Market, Chandigarh, India (30.7362° N, 76.7884° E)
Actors Involved:
- Primary: Rioters (local vegetable vendors)
- Secondary: Civilians (India)
- Target: Local vendor (suspected assailant)

Event Summary:
On 10 February 2024, a local vendor in Chandigarh's Sector 26 Grain Market allegedly attempted to open fire on another vendor. The weapon malfunctioned, prompting 7-8 local vegetable vendors to assault the man. The assailant sustained injuries and was hospitalized. His accomplices fled the scene.

Outcome:
- Suspected assailant injured and hospitalized.
- Accomplices escaped.
- No fatalities reported.

Casualties/Fatalities:
- Injured: 1 (suspected assailant)
- Fatalities: 0

Strategic Implications:
- Potential for escalation if tensions between vendor groups persist.
- Highlights local grievances and potential for further mob violence in Chandigarh.

Analyst Remarks:
The incident underscores underlying tensions among local vendors, possibly fueled by economic or personal disputes. The failure of the weapon and subsequent mob retaliation suggest a volatile environment.

Recommended Action:
- Increase local law enforcement presence in Sector 26 to prevent further escalation.
- Monitor for signs of retaliation or additional unrest in the area."
2016-10-30,Hiranagar,Battles,Armed clash,Kashmir Rebels (Pakistan),Police Forces of India (2014-) Border Security Force,0,"A group of 3-heavily armed militants (coded as Kashmir Rebels) attempted to infiltrate Hiranagar sector again. A battle ensued when BSF forces caught sight of them, and the militants retreated during the firefight.","<s>
INTSUM Report
Date: 30 October 2016
Location: Hiranagar, Kathua, Jammu and Kashmir, India (32.4549, 75.2719)
Actors Involved:
- Primary: Kashmir Rebels (Pakistan)
- Secondary: Border Security Force (BSF) of India
Event Summary:
Three heavily armed militants (Kashmir Rebels) attempted to infiltrate the Hiranagar sector. The BSF engaged the militants in a firefight, forcing them to retreat.
Outcome:
BSF successfully repelled the infiltration attempt; militants retreated.
Casualties/Fatalities: 0
Strategic Implications:
- Continued militant infiltration attempts indicate persistent cross-border security challenges.
- Effective BSF response underscores operational readiness but highlights ongoing threats.
Analyst Remarks:
The incident suggests sustained militant activity in the region, likely supported by external actors. The lack of casualties may indicate tactical caution or BSF effectiveness.
Recommended Action:
- Enhance surveillance and patrol frequency in vulnerable sectors.
- Strengthen intelligence-sharing mechanisms with regional partners to preempt future incursions."
